approve,current_title,new_title,shelf_size,shelf_shape,shelf_thickness,current_seo_title,new_seo_title,tags_to_add,notes,status,vendor,sku,handle,product_id,url
yes,"Advancer Kiln Shelf  16"" x 16"" x 5/16"" Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 16"" x 16"" Square, 5/16"" Thick","16"" x 16""",Square,"5/16""",,"Advancer Kiln Shelf 16"" x 16"" x 5/16"" Square | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,AKS-ADV1616X5/16-I,16-x-16-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615947018611,https://www.sheffield-pottery.com/products/16-x-16-x-5-16-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf  18"" x 18"" x 5/16""  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 18"" x 18"" Square, 5/16"" Thick","18"" x 18""",Square,"5/16""",,"Advancer Kiln Shelf 18"" x 18"" x 5/16"" Square | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,SSFADV1818,18-x-18-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615947051379,https://www.sheffield-pottery.com/products/18-x-18-x-5-16-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 20"" x 20"" x 5/16""  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 20"" x 20"" Square, 5/16"" Thick","20"" x 20""",Square,"5/16""",,"Advancer Kiln Shelf 20"" x 20"" x 5/16"" Square | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,AKS-ADV2020x5/16-I,20-x-20-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615950655859,https://www.sheffield-pottery.com/products/20-x-20-x-5-16-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 22 x 22 x 5/16"" Nitride Bonded Silicon Carbide Rectangle","Advancer Silicon Carbide Kiln Shelf - 22"" x 22"" Square, 5/16"" Thick","22"" x 22""",Square,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 22"" x 22"" x 5/16"" Square | Sheffield Pottery",,"Old title called this shelf ""Rectangle""; both sides are equal, so it is a square.",ACTIVE,Advancer,SSFADV2222,advancer-kiln-shelf-22x-22-x-5-16-nitride-bonded-ssfadv2222,gid://shopify/Product/8316338733378,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-22x-22-x-5-16-nitride-bonded-ssfadv2222
yes,"Advancer Kiln Shelf  24"" x 24"" x 5/16""  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 24"" x 24"" Square, 5/16"" Thick","24"" x 24""",Square,"5/16""",,"Advancer Kiln Shelf 24"" x 24"" x 5/16"" Square | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,AKS-ADV2424x5/16-I,24-x-24-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615950754163,https://www.sheffield-pottery.com/products/24-x-24-x-5-16-advancer®-kiln-shelf
yes,"15"" X 5/8 "" Corelite Full Round Kiln Shelves By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 15"" Full Round, 5/8"" Thick","15"" Diameter",Full Round,"5/8""","15"" x 5/8 "" CoreLite FULL ROUND Kiln Shelves","CoreLite Semi-Hollow Kiln Shelf 15"" x 5/8"" Full Round",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH1558FR,corelite-kiln-semi-hollow-shelves-ch1558fr,gid://shopify/Product/8315813069122,https://www.sheffield-pottery.com/products/corelite-kiln-semi-hollow-shelves-ch1558fr
yes,"20"" X 5/8"" Corelite Full Round Kiln Shelf  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 20"" Full Round, 5/8"" Thick","20"" Diameter",Full Round,"5/8""","20"" x 5/8"" CoreLite FULL ROUND Kiln Shelf","CoreLite Semi-Hollow Kiln Shelf 20"" x 5/8"" Full Round",,Draft: not visible on the storefront.,DRAFT,Cedar Heights,CH2058FR,corelite-kiln-semi-hollow-kiln-shelves-ch2058fr,gid://shopify/Product/8315813822786,
yes,"26"" X 1"" Corelite Full Round Kiln Shelf  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 26"" Full Round, 1"" Thick","26"" Diameter",Full Round,"1""","26"" X 1"" Corelite Full Round Kiln Shelf","CoreLite Semi-Hollow Kiln Shelf 26"" x 1"" Full Round",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH261,26-x-13-x-5-8-corelite-rectangle-kiln-shelves-ch261,gid://shopify/Product/8315814904130,https://www.sheffield-pottery.com/products/26-x-13-x-5-8-corelite-rectangle-kiln-shelves-ch261
yes,"20"" X 5/8"" Corelite Half Round Kiln Shelf  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 20"" Half Round, 5/8"" Thick","20"" Diameter",Half Round,"5/8""",Semi-Hollow Corelite Kiln Shelf | Half Round Kiln Shelves,"CoreLite Semi-Hollow Kiln Shelf 20"" x 5/8"" Half Round",,Draft: not visible on the storefront.,DRAFT,Cedar Heights,CH2058HR,corelite-kiln-semi-hollow-kiln-shelves-ch2058hr,gid://shopify/Product/8315814084930,
yes,"26"" X 5/8"" Half Round Corelite Kiln Shelves By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 26"" Half Round, 5/8"" Thick","26"" Diameter",Half Round,"5/8""","26"" X 13"" X 5/8 "" CoreLite Semi Hollow Kiln Shelves by Cedar Heights","CoreLite Semi-Hollow Kiln Shelf 26"" x 5/8"" Half Round",,,ACTIVE,Cedar Heights,CH2658HR,26-x-13-x-1-corelite-kiln-semi-hollow-shelves-ch2658hr,gid://shopify/Product/8315815559490,https://www.sheffield-pottery.com/products/26-x-13-x-1-corelite-kiln-semi-hollow-shelves-ch2658hr
yes,"16"" X 15"" X 5/8 "" Corelite Octagonal Kiln Shelf  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 16"" x 15"" Full 8-Sided, 5/8"" Thick","16"" Diameter",Full 8-Sided,"5/8""",Cordierite Kiln Shelf | Octagonal Kiln Shelves,"CoreLite Semi-Hollow Kiln Shelf 16"" x 15"" x 5/8"" Full 8-Sided",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Octagon listed as 16"" x 15"" (corner-to-corner x flat-to-flat?); filed under 16"" Diameter - confirm.",ACTIVE,Cedar Heights,CH161558,corelite-kiln-semi-hollow-shelves-ch161558,gid://shopify/Product/8315813167426,https://www.sheffield-pottery.com/products/corelite-kiln-semi-hollow-shelves-ch161558
yes,"20""  X 10"" X 3/4"" Corelite Rectangle Kiln Shelves  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 10"" x 20"" Rectangle, 3/4"" Thick","10"" x 20""",Rectangle,"3/4""",Corelite Kiln Shelves | Kiln Shelf | Sheffield Pottery,"CoreLite Semi-Hollow Kiln Shelf 10"" x 20"" x 3/4"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH201034,corelite-kiln-semi-hollow-kiln-shelves-ch201034,gid://shopify/Product/8315813429570,https://www.sheffield-pottery.com/products/corelite-kiln-semi-hollow-kiln-shelves-ch201034
yes,"22""  X 11"" X 1"" Corelite Rectangle  Kiln Shelves  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 11"" x 22"" Rectangle, 1"" Thick","11"" x 22""",Rectangle,"1""",,"CoreLite Semi-Hollow Kiln Shelf 11"" x 22"" x 1"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH22111,22-x-11-x-1-corelite-rectangle-kiln-shelves-ch22111,gid://shopify/Product/8315814216002,https://www.sheffield-pottery.com/products/22-x-11-x-1-corelite-rectangle-kiln-shelves-ch22111
yes,"24""  X 12"" X 1"" Corelite Square  Kiln Shelves  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 12"" x 24"" Rectangle, 1"" Thick","12"" x 24""",Rectangle,"1""",Corelite Kiln Shelves | Kiln Shelf | Sheffield Pottery,"CoreLite Semi-Hollow Kiln Shelf 12"" x 24"" x 1"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Old title called this 24 x 12 shelf ""Square""; it is a rectangle.",ACTIVE,Cedar Heights,CH24121,corelite-kiln-semi-hollow-kiln-shelves-ch24121,gid://shopify/Product/8315814347074,https://www.sheffield-pottery.com/products/corelite-kiln-semi-hollow-kiln-shelves-ch24121
yes,"24 X 12"" X 5/8 "" Corelite Kiln Shelves By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 12"" x 24"" Rectangle, 5/8"" Thick","12"" x 24""",Rectangle,"5/8""","24 x 12"" x 5/8 "" CoreLite Semi Hollow Kiln Shelves","CoreLite Semi-Hollow Kiln Shelf 12"" x 24"" x 5/8"" Rectangle",,Draft: not visible on the storefront.,DRAFT,Cedar Heights,CH241258,corelite-kiln-semi-hollow-shelves-ch241258,gid://shopify/Product/8315814510914,
yes,"26"" X 13"" X 1 "" Corelite Rectagular Kiln Shelves By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 13"" x 26"" Rectangle, 1"" Thick","13"" x 26""",Rectangle,"1""","26"" X 13"" X 1 "" CoreLite Semi Hollow Kiln Shelves by Cedar Heights","CoreLite Semi-Hollow Kiln Shelf 13"" x 26"" x 1"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH26131,26-x-13-x-1-corelite-kiln-semi-hollow-shelves-ch26131,gid://shopify/Product/8315815133506,https://www.sheffield-pottery.com/products/26-x-13-x-1-corelite-kiln-semi-hollow-shelves-ch26131
yes,"26""  X 13"" X 5/8"" Corelite Rectangle  Kiln Shelves  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 13"" x 26"" Rectangle, 5/8"" Thick","13"" x 26""",Rectangle,"5/8""","26""  X 13"" X 5/8"" Corelite Rectangle  Kiln Shelves","CoreLite Semi-Hollow Kiln Shelf 13"" x 26"" x 5/8"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH261358,26-x-13-x-5-8-corelite-rectangle-kiln-shelves-ch261358,gid://shopify/Product/8315815362882,https://www.sheffield-pottery.com/products/26-x-13-x-5-8-corelite-rectangle-kiln-shelves-ch261358
yes,"28""  X 14"" X 1"" Corelite Rectangle  Kiln Shelves  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 14"" x 28"" Rectangle, 1"" Thick","14"" x 28""",Rectangle,"1""","28""  X 14"" X 1"" Corelite Rectangle  Kiln Shelves","CoreLite Semi-Hollow Kiln Shelf 14"" x 28"" x 1"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH28141,28-x-14-x-1-corelite-rectangle-kiln-shelves-ch28141,gid://shopify/Product/8315815854402,https://www.sheffield-pottery.com/products/28-x-14-x-1-corelite-rectangle-kiln-shelves-ch28141
yes,"24""  X 18"" X 1"" Corelite Rectangle  Kiln Shelves  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 18"" x 24"" Rectangle, 1"" Thick","18"" x 24""",Rectangle,"1""","24""  x 18"" x 1"" CoreLite RECTANGLE  Kiln Shelves","CoreLite Semi-Hollow Kiln Shelf 18"" x 24"" x 1"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH24181,corelite-kiln-semi-hollow-kiln-shelves-ch24181,gid://shopify/Product/8315814805826,https://www.sheffield-pottery.com/products/corelite-kiln-semi-hollow-kiln-shelves-ch24181
yes,"20"" X 20"" X1"" "" Corelite Square Kiln Shelf  By Cedar Heights","Cedar Heights CoreLite Semi-Hollow Kiln Shelf - 20"" x 20"" Square, 1"" Thick","20"" x 20""",Square,"1""",Hollow Square Corelite Kiln Shelf | Sheffield Pottery,"CoreLite Semi-Hollow Kiln Shelf 20"" x 20"" x 1"" Square",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Cedar Heights,CH20201,corelite-kiln-semi-hollow-kiln-shelves-ch20201,gid://shopify/Product/8315813495106,https://www.sheffield-pottery.com/products/corelite-kiln-semi-hollow-kiln-shelves-ch20201
yes,"Gillespie Hollow Core Kiln Shelf - Full Round 20"" X 5/8""","Gillespie Hollow Core Kiln Shelf - 20"" Full Round, 5/8"" Thick","20"" Diameter",Full Round,"5/8""",,"Gillespie Hollow Core Kiln Shelf 20"" x 5/8"" Full Round",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS20FR,gillespie-kiln-shelf-full-round-20-x-5-8,gid://shopify/Product/15210947445107,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-full-round-20-x-5-8
